,Time,Comparisons,Exchanges
Merge,44750,1929,0
Merge,39750,1926,0
Merge,86583,1926,0
Merge,41459,1931,0
Merge,41166,1933,0
Merge,36458,1931,0
Merge,35333,1933,0
Merge,35584,1930,0
Merge,38875,1924,0
Merge,38584,1934,0
Merge,36375,1932,0
Merge,38792,1932,0
Merge,36000,1928,0
Merge,35667,1929,0
Merge,35458,1929,0
Merge,35292,1928,0
Merge,37041,1933,0
Merge,36042,1927,0
Merge,35416,1930,0
Merge,36334,1932,0
Merge,39167,1927,0
Merge,35958,1934,0
Merge,36500,1925,0
Merge,41750,1929,0
Merge,36166,1932,0
Merge,37291,1934,0
Merge,36125,1931,0
Merge,36583,1933,0
Merge,37375,1925,0
Merge,141417,1932,0
Merge,200083,1925,0
Merge,46833,1934,0
Merge,37459,1932,0
Merge,37041,1935,0
Merge,292417,1928,0
Merge,48291,1927,0
Merge,37625,1936,0
Merge,38125,1929,0
Merge,35917,1929,0
Merge,36041,1941,0
Merge,35375,1923,0
Merge,38209,1939,0
Merge,38000,1933,0
Merge,36375,1932,0
Merge,35458,1927,0
Merge,36500,1932,0
Merge,35167,1927,0
Merge,38084,1929,0
Merge,34916,1926,0
Merge,36583,1933,0
Merge,35250,1932,0
Merge,37083,1930,0
Merge,127333,1938,0
Merge,109750,1935,0
,,,
,,,
,,,
arr size: 128,,,
Insertion,70000,8383,7772
Insertion,92209,8383,7984
Insertion,78500,8383,7336
Insertion,78834,8383,8150
Insertion,77125,8383,8182
Insertion,77333,8383,7684
Insertion,78125,8383,7438
Insertion,78833,8383,7788
Insertion,77292,8383,8016
Insertion,77250,8383,7922
Insertion,78334,8383,8368
Insertion,78958,8383,8070
Insertion,83125,8383,8126
Insertion,78500,8383,8366
Insertion,75041,8383,7318
Insertion,77208,8383,7696
Insertion,78250,8383,7376
Insertion,78125,8383,8638
Insertion,78583,8383,7954
Insertion,78667,8383,7714
Insertion,265875,8383,9150
Insertion,79167,8383,7584
Insertion,77791,8383,8542
Insertion,76500,8383,8108
Insertion,79083,8383,8290
Insertion,77083,8383,8268
Insertion,78792,8383,8438
Insertion,78125,8383,8208
Insertion,78334,8383,8244
Insertion,77541,8383,7902
Insertion,80041,8383,8360
Insertion,77375,8383,8096
Insertion,78833,8383,8130
Insertion,78625,8383,8054
Insertion,76334,8383,7788
Insertion,353000,8383,8456
Insertion,254458,8383,8224
Insertion,211834,8383,8010
Insertion,114583,8383,8350
Insertion,127542,8383,8384
Insertion,195625,8383,7700
Insertion,260750,8383,7678
Insertion,198708,8383,8288
Insertion,78167,8383,8548
Insertion,76250,8383,7856
Insertion,79833,8383,7988
Insertion,98667,8383,7760
Insertion,76334,8383,7920
Insertion,81000,8383,9098
Insertion,77042,8383,7540
Insertion,292417,8383,8566
Insertion,80666,8383,8386
Insertion,78041,8383,7896
Insertion,117583,8383,7550
